Date,Open,High,Low,Close,Volume
2025-05-12,29.54,29.92,29.36,29.76,64673.0
2025-05-13,30.0,30.44,29.58,29.71,67091.0
2025-05-14,29.71,30.0,29.3,29.87,51638.0
2025-05-15,29.75,29.76,29.07,29.08,42051.0
2025-05-16,28.88,29.25,28.74,28.8,35145.0
2025-05-19,28.72,29.15,28.45,29.13,37772.0
2025-05-20,29.09,29.4,28.82,28.99,43475.0
2025-05-21,28.88,30.18,28.74,29.48,107588.0
2025-05-22,29.27,29.42,28.39,28.42,76893.0
2025-05-23,28.35,29.07,27.91,27.91,59386.0
2025-05-26,27.91,28.2,27.75,28.13,37928.0
2025-05-27,28.05,29.05,27.62,28.4,71835.0
2025-05-28,28.25,28.36,27.76,27.82,45419.0
2025-05-29,27.69,28.2,27.69,28.2,38853.0
2025-05-30,28.13,28.13,27.55,27.6,38019.0
2025-06-03,27.48,27.95,27.36,27.69,36508.0
2025-06-04,27.91,28.76,27.74,28.47,70616.0
2025-06-05,28.45,28.54,28.14,28.38,38357.0
2025-06-06,28.42,28.66,28.18,28.26,43046.0
2025-06-09,28.2,29.04,28.18,28.88,59133.0
2025-06-10,29.14,31.05,29.05,29.87,185423.0
2025-06-11,29.8,30.71,29.69,29.73,118305.0
2025-06-12,29.41,29.81,29.04,29.59,83806.0
2025-06-13,29.3,29.52,28.38,28.43,86129.0
2025-06-16,28.16,28.88,28.1,28.53,50785.0
2025-06-17,28.48,32.8,28.48,31.81,318231.0
2025-06-18,31.51,31.84,30.71,31.62,194396.0
2025-06-19,31.63,32.44,31.06,31.34,195376.0
2025-06-20,30.92,32.4,30.92,31.22,162054.0
2025-06-23,30.7,32.03,30.12,31.65,142642.0
2025-06-24,31.55,34.08,31.3,33.51,260811.0
2025-06-25,33.38,34.22,33.0,33.8,222606.0
2025-06-26,33.55,35.07,33.36,33.59,209795.0
2025-06-27,33.78,35.26,33.09,33.31,186774.0
2025-06-30,33.33,33.5,32.68,33.02,129949.0
2025-07-01,33.02,33.09,32.06,32.63,114304.0
2025-07-02,32.54,32.62,31.9,32.47,78345.0
2025-07-03,32.53,33.01,31.93,32.81,115060.0
2025-07-04,32.85,32.85,31.64,31.75,99755.0
2025-07-07,31.79,32.2,31.65,31.82,58428.0
2025-07-08,31.83,32.79,31.56,32.68,98957.0
2025-07-09,32.74,32.79,31.88,32.0,79601.0
2025-07-10,32.0,34.89,31.77,33.62,213955.0
2025-07-11,33.24,33.33,32.25,32.63,168806.0
2025-07-14,32.6,33.75,32.5,32.64,116281.0
2025-07-15,32.49,32.49,31.1,31.42,131023.0
2025-07-16,32.39,33.39,31.75,31.8,105303.0
2025-07-17,31.72,32.9,31.32,32.49,101982.0
2025-07-18,32.49,33.29,32.46,32.63,101994.0
2025-07-21,32.67,33.4,32.49,33.18,93781.0
2025-07-22,33.02,33.8,32.85,33.45,113693.0
2025-07-23,33.53,33.74,32.85,32.86,90791.0
2025-07-24,32.7,35.05,32.61,34.93,241670.0
2025-07-25,35.05,36.33,35.01,35.35,204405.0
2025-07-28,34.7,35.35,34.21,34.82,126660.0
2025-07-29,34.6,35.38,34.34,34.65,93169.0
2025-07-30,34.68,34.8,33.65,33.98,91445.0
2025-07-31,33.8,34.19,32.86,33.03,98751.0
2025-08-01,33.03,33.35,32.46,32.73,77314.0
2025-08-04,32.52,32.73,32.16,32.73,67147.0
2025-08-05,32.7,33.05,32.5,32.68,79344.0
2025-08-06,32.58,33.07,32.31,33.07,75796.0
2025-08-07,33.07,33.27,32.45,32.87,87052.0
2025-08-08,32.93,33.15,32.48,32.72,77005.0
2025-08-11,33.91,37.0,33.51,37.0,390051.0
2025-08-12,36.26,36.5,35.32,36.25,218827.0
2025-08-13,36.09,36.4,35.57,35.93,153591.0
2025-08-14,35.83,36.11,34.51,34.88,147429.0
2025-08-15,34.89,37.5,34.8,36.33,226865.0
2025-08-18,36.47,37.17,36.22,36.62,175775.0
2025-08-19,36.58,37.24,36.23,36.94,137796.0
2025-08-20,36.6,36.79,35.7,36.51,114072.0
2025-08-21,36.41,36.59,35.38,35.62,96791.0
2025-08-22,35.72,36.8,35.6,36.32,108551.0
2025-08-25,36.68,38.65,36.67,37.4,216860.0
2025-08-26,37.28,37.6,36.7,36.95,112708.0
2025-08-27,37.04,37.92,35.77,35.78,196527.0
2025-08-28,35.7,37.27,34.55,35.94,176655.0
2025-08-29,35.8,39.98,35.6,38.26,384019.0
2025-09-01,38.5,38.96,37.87,38.3,184115.0
2025-09-02,38.36,39.8,37.95,38.5,257457.0
2025-09-03,38.96,39.96,37.71,37.9,236118.0
2025-09-04,38.22,39.67,36.9,37.73,267311.0
2025-09-05,37.9,41.33,37.78,40.87,433145.0
2025-09-08,41.3,44.47,40.11,43.69,431193.0
2025-09-09,42.66,44.2,42.02,42.63,266183.0
2025-09-10,41.34,42.58,40.77,41.56,225963.0
2025-09-11,41.69,41.77,40.77,40.97,217741.0
2025-09-12,41.01,41.98,40.22,41.52,212935.0
2025-09-15,42.35,44.43,41.36,41.52,277765.0
2025-09-16,41.3,41.52,39.6,40.8,218630.0
2025-09-17,40.5,41.29,39.91,40.57,144846.0
2025-09-18,40.41,40.99,39.0,39.52,191667.0
2025-09-19,39.42,40.39,38.83,38.83,138816.0
2025-09-22,38.85,39.71,37.8,38.33,126056.0
2025-09-23,38.38,38.94,36.42,37.53,151828.0
2025-09-24,37.15,39.02,37.0,38.84,149030.0
2025-09-25,38.82,39.75,38.55,38.89,142503.0
2025-09-26,38.41,39.7,38.36,38.68,125178.0
2025-09-29,39.83,42.47,39.44,41.06,260949.0
2025-09-30,41.04,47.0,40.98,46.31,471071.0
2025-10-09,46.32,46.82,44.6,45.0,365563.0
2025-10-10,44.81,45.01,41.9,42.11,263134.0
2025-10-13,39.8,43.31,39.5,42.78,225417.0
2025-10-14,43.5,44.29,41.88,42.08,203160.0
2025-10-15,42.58,42.94,41.29,42.04,141237.0
2025-10-16,41.81,42.98,41.11,41.33,145453.0
2025-10-17,41.19,42.9,39.01,39.17,186572.0
2025-10-20,40.21,41.43,39.48,39.96,187407.0
2025-10-21,40.39,40.93,39.74,40.4,123676.0
2025-10-22,40.2,40.21,39.02,40.17,131336.0
2025-10-23,40.17,40.48,38.83,40.48,130074.0
2025-10-24,40.65,41.43,39.9,40.19,166894.0
2025-10-27,40.92,41.7,40.15,40.87,209556.0
2025-10-28,40.88,42.49,40.46,41.78,222861.0
2025-10-29,41.8,42.84,41.23,42.84,216820.0
2025-10-30,43.0,44.23,42.4,42.95,301792.0
2025-10-31,42.95,49.73,42.94,45.96,570121.0
2025-11-03,46.58,46.87,44.04,45.95,295694.0
2025-11-04,45.95,46.53,44.12,44.56,202414.0
2025-11-05,43.79,51.66,43.76,49.86,537663.0
2025-11-06,50.17,50.48,49.0,49.7,310143.0
2025-11-07,49.9,56.99,49.35,54.77,603726.0
2025-11-10,56.89,57.89,54.6,55.23,544036.0
2025-11-11,55.08,59.85,55.02,56.61,439769.0
2025-11-12,55.75,56.2,53.35,54.51,350155.0
2025-11-13,54.03,61.46,54.03,59.55,500044.0
2025-11-14,58.83,60.5,57.25,57.33,307233.0
2025-11-17,57.4,60.4,57.19,58.38,346999.0
2025-11-18,59.79,61.4,55.69,56.81,372342.0
2025-11-19,56.3,58.0,54.56,54.9,306325.0
2025-11-20,54.46,55.9,52.7,52.75,309839.0
2025-11-21,51.18,52.1,46.0,46.28,367092.0
2025-11-24,47.0,47.5,44.8,45.6,220443.0
2025-11-25,47.65,48.0,46.1,46.94,254650.0
2025-11-26,47.2,47.77,46.22,46.6,231667.0
2025-11-27,46.54,48.44,46.54,47.25,247892.0
2025-11-28,46.71,50.1,46.61,48.93,323470.0
2025-12-01,48.89,49.59,47.18,47.77,263319.0
2025-12-02,47.52,48.77,47.01,47.57,205869.0
2025-12-03,49.19,49.7,46.11,46.68,281126.0
2025-12-04,46.2,46.95,45.15,45.49,181126.0
2025-12-05,45.25,45.8,44.14,45.46,166999.0
2025-12-08,45.22,47.0,44.9,46.6,172778.0
2025-12-09,46.0,46.3,45.1,45.22,149219.0
2025-12-10,45.22,45.85,44.31,45.0,121916.0
2025-12-11,45.28,45.97,44.0,44.04,150994.0
2025-12-12,44.6,44.7,42.89,43.39,177091.0
2025-12-15,43.68,44.0,42.43,42.95,126716.0
2025-12-16,42.83,43.08,41.33,42.07,130633.0
2025-12-17,42.61,43.76,42.29,43.75,186968.0
2025-12-18,43.67,43.88,42.15,42.34,137933.0
2025-12-19,42.56,43.3,42.3,42.98,129575.0
2025-12-22,42.86,43.88,42.86,43.16,116696.0
2025-12-23,43.01,45.08,42.91,44.34,222239.0
2025-12-24,44.14,45.5,44.03,44.89,178143.0
2025-12-25,44.4,44.68,43.93,44.45,132752.0
2025-12-26,47.45,48.6,46.12,46.19,356486.0
2025-12-29,46.75,46.86,44.66,45.12,231391.0
2025-12-30,44.53,45.89,43.77,45.33,180265.0
2025-12-31,45.3,45.82,43.98,44.01,134486.0
2026-01-05,44.84,45.34,43.81,45.25,181637.0
2026-01-06,45.85,47.25,45.2,46.6,248097.0
2026-01-07,46.35,47.25,45.15,45.65,199079.0
2026-01-08,45.05,46.49,44.88,45.39,165374.0
2026-01-09,45.01,46.45,44.79,45.42,170499.0
2026-01-12,45.76,46.96,45.32,46.54,231058.0
2026-01-13,46.5,47.88,45.44,45.74,307692.0
2026-01-14,45.86,47.84,45.32,46.33,302728.0
2026-01-15,46.0,47.82,45.75,46.12,262477.0
2026-01-16,46.55,46.89,44.7,45.13,236644.0
2026-01-19,44.51,45.86,44.01,44.91,166060.0
2026-01-20,45.31,46.17,42.9,43.42,200589.0
2026-01-21,42.95,44.67,42.85,44.2,159873.0
2026-01-22,44.2,44.81,43.38,43.59,123588.0
2026-01-23,43.73,46.65,43.62,46.51,285477.0
2026-01-26,46.66,46.86,45.04,45.46,181777.0
2026-01-27,45.16,45.46,41.9,44.13,260200.0
2026-01-28,43.82,44.0,43.15,43.76,116354.0
2026-01-29,43.4,44.38,42.5,42.94,125412.0
2026-01-30,42.9,42.93,40.13,41.4,179825.0
2026-02-02,40.79,41.36,39.24,39.3,137747.0
2026-02-03,39.84,40.25,39.47,40.24,88751.0
2026-02-04,40.0,40.89,39.56,40.83,92875.0
2026-02-05,40.39,41.0,39.44,39.65,88854.0
2026-02-06,39.17,41.86,38.97,41.18,167368.0
2026-02-09,41.39,41.88,41.25,41.4,92186.0
2026-02-10,41.4,41.69,40.68,40.69,65956.0
2026-02-11,40.77,41.61,40.58,41.14,81480.0
2026-02-12,40.98,41.45,40.92,41.07,65193.0
2026-02-13,40.95,41.89,40.74,40.88,68600.0
2026-02-24,41.59,41.72,41.02,41.25,68641.0
2026-02-25,41.32,43.21,41.2,42.86,146921.0
2026-02-26,44.21,44.33,41.81,42.03,162453.0
2026-02-27,41.65,42.27,41.58,42.24,85116.0
2026-03-02,41.4,42.98,40.96,42.36,146565.0
2026-03-03,42.75,43.76,41.35,41.42,175648.0
2026-03-04,40.77,42.6,40.77,41.26,94204.0
2026-03-05,42.27,42.5,41.11,41.64,109256.0
2026-03-06,43.28,44.0,42.22,42.31,238567.0
2026-03-09,39.62,42.49,39.53,42.23,179365.0
2026-03-10,42.75,43.31,42.38,42.63,122209.0
2026-03-11,42.64,44.65,42.38,44.05,232610.0
2026-03-12,43.92,45.4,43.18,44.93,214951.0
2026-03-13,44.9,48.88,44.88,46.32,375161.0
2026-03-16,46.25,47.28,45.8,46.2,231326.0
2026-03-17,45.86,46.8,44.69,44.85,161211.0
2026-03-18,45.68,45.68,43.89,44.61,126346.0
2026-03-19,44.01,44.88,43.13,43.63,137193.0
2026-03-20,43.69,46.98,43.51,44.83,298839.0
2026-03-23,44.16,46.5,44.16,44.55,248074.0
2026-03-24,45.31,45.42,42.01,45.2,227604.0
2026-03-25,44.94,45.6,44.13,45.05,175628.0
2026-03-26,44.83,46.75,44.25,45.23,254056.0
2026-03-27,44.32,48.15,44.31,47.54,328878.0
2026-03-30,47.22,48.0,45.6,46.37,269451.0
2026-03-31,45.81,46.3,43.78,43.85,223541.0
2026-04-01,44.49,44.88,43.21,43.88,154222.0
2026-04-02,43.25,43.99,41.6,41.73,167280.0
2026-04-03,41.7,42.2,40.02,40.07,129837.0
2026-04-07,40.2,41.15,40.12,40.97,87206.0
2026-04-08,41.88,44.03,41.44,43.15,168231.0
2026-04-09,42.76,43.49,41.9,42.45,113311.0
2026-04-10,42.96,46.4,42.79,44.93,314840.0
2026-04-13,44.53,46.16,44.53,45.9,184587.0
2026-04-14,46.16,47.28,45.77,47.21,202987.0
2026-04-15,47.55,47.77,45.85,46.02,195685.0
2026-04-16,46.89,49.2,46.42,47.92,260720.0
2026-04-17,47.64,49.5,47.64,47.91,198801.0
2026-04-20,47.7,48.58,47.21,47.89,144537.0
2026-04-21,48.0,49.16,46.8,48.66,178906.0
2026-04-22,48.3,51.16,48.3,49.64,228949.0
2026-04-23,49.45,50.47,48.16,49.86,211515.0
2026-04-24,49.76,50.92,49.03,50.41,212310.0
2026-04-27,50.46,52.86,50.23,52.34,242704.0
2026-04-28,53.09,54.65,52.32,53.1,311483.0
2026-04-29,54.62,63.72,53.55,63.72,549056.0
2026-04-30,69.94,74.98,69.94,71.95,807797.0
2026-05-06,72.34,80.66,71.47,80.15,642552.0
2026-05-07,80.63,84.5,78.21,80.75,614512.0
2026-05-08,83.0,88.3,78.47,78.96,481255.0
