date,action,price,shares,signal,pnl_pct
2025-03-07,买入,3373.1808,200,反弹,
2025-04-08,卖出,3094.2619,200,减仓,-8.27
2025-05-08,买入,3331.2052,200,低吸,
2025-11-25,卖出,3850.571,200,减仓,15.59
2025-12-02,买入,3908.4559,200,低吸,
2025-12-11,卖出,3903.8948,200,减仓,-0.12
2025-12-22,买入,3900.535,200,低吸,
2026-02-09,卖出,4103.5396,200,减仓,5.2
2026-02-25,买入,4123.7808,200,低吸,
2026-03-06,卖出,4085.8954,200,减仓,-0.92
2026-03-12,买入,4133.1996,200,反弹,
2026-03-20,卖出,4004.5732,200,减仓,-3.11
2026-04-21,买入,4075.8454,200,反弹,
2026-06-05,卖出,4044.8292,200,减仓,-0.76
2026-06-08,买入,3938.7093,200,低吸,
2026-06-08,清仓,3959.3378,200,到期,0.52
